,type
438,Townhouse
477,Townhouse
709,Townhouse
745,Townhouse
784,House
1028,House
1040,House
1059,House
1065,House
1071,Condo
1184,Condo
1189,Condo
1239,Condo
1301,House
1355,Condo
1375,Townhouse
1381,Condo
1406,Townhouse
1474,Townhouse
1534,Condo
1584,Townhouse
2599,House
2687,House
2899,House
2976,House
